soil_moisture_percent,temp_max,temp_min,temp_avg,humidity,wind_speed,days_since_irrigation,growth_stage,soil_type,soil_type_encoded,day_of_year,need_irrigation,irrigation_amount_mm
33.4,28.6,13.9,21.3,78.1,2.8,10,2,Loam,3,36,True,20.2
30.2,37.1,24.0,30.5,59.8,0.1,10,2,Loam,3,64,True,16.7
62.9,29.3,19.0,24.2,55.4,0.2,3,1,Loam,3,210,False,0.0
46.9,21.6,9.0,15.3,51.5,1.9,9,1,Sandy Loam,4,216,False,0.0
69.0,16.5,6.4,11.5,68.4,0.2,4,2,Sandy,1,292,False,0.0
44.8,27.3,16.3,21.8,38.9,3.4,7,3,Loam,3,108,False,0.0
53.0,24.9,12.1,18.5,29.4,4.7,10,1,Sandy Loam,4,227,False,0.0
54.2,31.8,21.8,26.8,45.0,0.0,3,0,Loam,3,44,False,0.0
76.3,21.4,11.2,16.3,79.1,1.8,0,1,Clay,2,345,False,0.0
48.9,28.5,18.8,23.6,66.0,0.7,7,0,Sandy Loam,4,24,False,0.0
50.8,22.3,8.1,15.2,61.0,9.9,7,3,Clay,2,213,False,0.0
69.9,21.7,12.0,16.9,48.4,7.0,6,0,Sandy,1,205,False,0.0
53.9,36.3,27.1,31.7,53.5,2.0,8,0,Sandy Loam,4,113,False,0.0
61.7,37.4,23.0,30.2,62.8,0.1,2,3,Sandy,1,128,False,0.0
49.2,21.7,9.0,15.4,38.2,0.4,9,3,Loam,3,238,False,0.0
51.4,4.7,-6.3,-0.8,52.1,1.8,7,1,Sandy Loam,4,259,False,0.0
47.2,19.4,9.6,14.5,68.6,0.4,8,2,Clay,2,231,False,0.0
75.1,9.3,-3.1,3.1,87.5,5.4,1,3,Loam,3,249,False,0.0
38.3,29.3,19.7,24.5,64.4,1.0,8,2,Loam,3,147,True,15.8
50.5,37.8,28.8,33.3,36.1,0.1,2,3,Clay,2,42,False,0.0
56.8,25.8,16.3,21.0,64.5,16.3,5,3,Sandy Loam,4,362,False,0.0
64.1,15.3,4.0,9.6,53.2,1.2,6,1,Sandy,1,278,False,0.0
51.8,15.2,0.9,8.0,68.0,2.2,7,3,Sandy,1,200,False,0.0
45.9,32.1,17.5,24.8,65.0,1.5,6,3,Loam,3,4,False,0.0
75.8,15.6,2.3,9.0,83.3,3.8,3,3,Clay,2,276,False,0.0
59.1,40.5,29.4,34.9,56.3,0.3,5,3,Sandy,1,140,False,0.0
56.4,28.7,16.0,22.4,73.2,0.5,7,1,Sandy Loam,4,343,False,0.0
41.7,25.3,10.4,17.8,42.3,4.7,9,3,Sandy,1,66,True,17.4
80.1,4.5,-8.2,-1.8,52.7,1.9,2,3,Sandy,1,289,False,0.0
63.1,8.4,-0.9,3.8,59.2,1.2,5,3,Loam,3,237,False,0.0
45.3,36.6,25.4,31.0,76.8,0.5,4,3,Loam,3,109,False,0.0
75.0,21.4,11.6,16.5,45.9,0.4,0,3,Sandy,1,216,False,0.0
43.7,13.6,5.2,9.4,90.8,0.4,10,1,Loam,3,277,False,0.0
56.0,28.2,14.7,21.4,48.1,0.4,3,0,Sandy,1,36,False,0.0
46.3,33.8,20.0,26.9,60.9,2.3,2,1,Clay,2,103,False,0.0
67.4,12.9,0.2,6.5,63.2,4.1,4,3,Clay,2,243,False,0.0
65.8,20.8,11.6,16.2,49.0,0.5,4,1,Sandy,1,189,False,0.0
46.0,31.8,19.8,25.8,25.5,1.9,6,3,Loam,3,56,False,0.0
49.7,23.9,15.3,19.6,72.8,4.5,4,0,Clay,2,102,False,0.0
63.0,38.0,25.8,31.9,76.8,0.2,5,0,Sandy,1,351,False,0.0
52.9,2.7,-8.3,-2.8,47.8,0.9,8,0,Loam,3,273,False,0.0
72.3,16.4,6.0,11.2,43.8,0.3,1,3,Sandy Loam,4,332,False,0.0
59.7,23.3,8.5,15.9,75.8,1.4,6,1,Sandy Loam,4,222,False,0.0
42.4,35.4,22.3,28.8,47.1,1.8,7,3,Loam,3,91,False,0.0
57.9,26.4,12.6,19.5,54.2,0.9,3,2,Loam,3,224,False,0.0
47.3,36.6,26.7,31.6,88.6,0.9,7,1,Sandy Loam,4,45,False,0.0
73.1,16.1,3.9,10.0,54.6,0.3,0,2,Sandy Loam,4,292,False,0.0
63.7,12.3,-1.6,5.3,52.7,0.4,3,3,Clay,2,254,False,0.0
48.6,22.4,8.8,15.6,22.5,8.1,9,2,Loam,3,182,False,0.0
70.5,22.9,8.8,15.9,46.4,7.0,1,1,Sandy,1,360,False,0.0
46.0,34.8,21.8,28.3,49.1,2.2,7,1,Sandy Loam,4,124,False,0.0
74.9,20.0,7.0,13.5,71.3,1.7,1,0,Sandy Loam,4,331,False,0.0
25.0,26.4,16.8,21.6,51.5,1.1,10,2,Clay,2,151,True,17.8
46.1,16.1,5.5,10.8,63.9,0.7,8,3,Loam,3,298,False,0.0
58.2,21.4,11.0,16.2,64.0,1.3,4,2,Sandy Loam,4,170,False,0.0
58.7,33.2,23.6,28.4,47.1,0.1,1,2,Clay,2,129,False,0.0
70.9,12.0,-2.7,4.7,71.4,2.3,3,1,Clay,2,275,False,0.0
57.9,23.2,13.2,18.2,22.9,0.9,3,0,Loam,3,248,False,0.0
66.5,30.9,21.3,26.1,61.3,0.4,0,2,Clay,2,152,False,0.0
72.3,23.9,12.1,18.0,77.5,0.3,0,0,Loam,3,363,False,0.0
76.4,12.2,2.1,7.2,68.8,0.4,1,3,Clay,2,284,False,0.0
63.3,24.1,12.1,18.1,64.3,0.9,7,3,Sandy Loam,4,7,False,0.0
45.0,24.9,15.6,20.3,74.2,3.4,7,2,Sandy,1,175,False,0.0
65.0,28.5,14.7,21.6,31.9,2.8,1,3,Sandy Loam,4,59,False,0.0
76.4,7.8,-4.6,1.6,60.2,4.6,2,1,Sandy,1,296,False,0.0
79.8,4.3,-10.4,-3.0,63.5,0.2,1,1,Sandy,1,289,False,0.0
51.3,16.0,2.7,9.4,68.5,0.8,7,3,Clay,2,286,False,0.0
62.2,16.0,5.9,11.0,69.5,4.5,9,2,Sandy Loam,4,227,False,0.0
56.3,15.3,6.9,11.1,66.1,0.7,10,1,Sandy,1,318,False,0.0
59.4,30.3,20.4,25.3,61.1,2.9,3,1,Sandy,1,109,False,0.0
40.5,33.3,21.4,27.3,72.4,3.4,6,0,Clay,2,89,False,0.0
77.7,12.7,-0.1,6.3,53.3,0.5,0,2,Sandy Loam,4,231,False,0.0
62.2,38.7,28.7,33.7,74.6,2.0,1,3,Loam,3,119,False,0.0
42.1,32.2,22.5,27.3,48.4,0.4,6,1,Loam,3,352,False,0.0
60.0,34.4,22.5,28.4,72.5,1.0,2,2,Clay,2,59,False,0.0
40.1,30.7,22.3,26.5,64.2,1.4,7,2,Loam,3,37,False,0.0
54.9,32.9,21.6,27.3,60.7,4.1,4,3,Loam,3,64,False,0.0
51.1,19.0,7.3,13.2,67.2,2.5,9,0,Sandy Loam,4,257,False,0.0
76.6,29.8,15.6,22.7,42.9,1.9,0,2,Loam,3,21,False,0.0
48.8,29.7,20.1,24.9,45.2,8.4,9,2,Sandy,1,47,False,0.0
28.5,41.2,27.9,34.6,67.9,1.0,8,3,Clay,2,21,True,18.0
47.2,14.9,3.8,9.3,35.2,1.5,9,1,Loam,3,334,False,0.0
50.0,21.6,9.1,15.4,79.1,1.2,7,0,Sandy Loam,4,224,False,0.0
64.5,24.3,13.4,18.9,37.5,0.3,2,0,Loam,3,179,False,0.0
45.7,20.7,9.8,15.3,72.1,0.9,10,2,Sandy Loam,4,169,False,0.0
61.6,30.3,16.6,23.5,76.9,0.0,1,3,Sandy,1,206,False,0.0
50.2,31.0,21.3,26.2,48.0,11.5,8,3,Sandy,1,162,False,0.0
61.1,38.0,25.4,31.7,60.9,0.1,0,3,Sandy Loam,4,1,False,0.0
65.5,38.3,26.7,32.5,58.3,0.4,0,3,Sandy Loam,4,97,False,0.0
43.4,34.6,24.7,29.6,51.8,1.7,7,2,Clay,2,105,False,0.0
64.9,10.5,-0.9,4.8,28.8,1.6,2,1,Sandy,1,358,False,0.0
61.1,27.1,15.2,21.1,54.4,4.0,3,0,Sandy Loam,4,160,False,0.0
45.0,36.1,24.9,30.5,72.5,1.1,7,1,Sandy,1,59,True,16.9
37.9,36.7,25.1,30.9,70.8,0.0,7,3,Loam,3,150,True,16.4
58.9,15.8,6.1,11.0,67.5,0.5,3,3,Clay,2,242,False,0.0
62.3,15.4,3.8,9.6,54.4,2.6,4,0,Clay,2,307,False,0.0
54.9,21.3,10.9,16.1,84.7,0.5,4,0,Loam,3,213,False,0.0
41.3,32.8,19.0,25.9,55.4,0.0,7,1,Sandy Loam,4,153,True,19.0
49.7,8.8,-2.6,3.1,47.8,1.0,7,3,Loam,3,276,False,0.0
64.5,31.0,16.9,24.0,40.8,1.6,3,3,Clay,2,165,False,0.0
57.3,11.5,3.2,7.4,51.8,5.9,6,3,Sandy Loam,4,211,False,0.0
78.1,22.8,9.3,16.1,59.4,4.5,0,3,Clay,2,340,False,0.0
47.3,32.3,20.8,26.6,80.2,0.0,7,0,Loam,3,65,False,0.0
69.3,24.3,12.6,18.4,39.8,0.3,2,0,Sandy Loam,4,52,False,0.0
52.2,14.0,-0.1,7.0,61.5,0.6,7,0,Clay,2,210,False,0.0
47.8,27.3,16.9,22.1,66.1,2.1,5,0,Sandy Loam,4,136,False,0.0
49.0,19.4,5.4,12.4,67.9,0.0,10,2,Sandy Loam,4,346,False,0.0
71.0,20.7,6.6,13.7,85.0,0.4,3,0,Sandy,1,250,False,0.0
68.2,17.7,4.9,11.3,72.1,1.0,1,1,Loam,3,324,False,0.0
65.2,18.7,3.9,11.3,67.8,0.2,2,3,Sandy,1,223,False,0.0
58.0,16.3,6.2,11.2,68.7,1.0,5,0,Sandy,1,356,False,0.0
70.3,23.0,13.0,18.0,45.4,1.7,2,3,Loam,3,29,False,0.0
46.3,43.7,32.0,37.8,55.4,5.5,2,1,Clay,2,126,False,0.0
49.0,35.0,22.7,28.9,51.4,1.4,7,1,Sandy Loam,4,41,False,0.0
59.2,7.5,-1.5,3.0,74.8,2.9,7,2,Sandy Loam,4,299,False,0.0
47.1,41.6,28.9,35.3,50.6,0.6,10,2,Sandy Loam,4,131,False,0.0
53.1,17.6,8.5,13.0,68.0,2.4,9,2,Sandy Loam,4,280,False,0.0
52.8,21.9,9.4,15.6,49.1,5.0,7,2,Sandy Loam,4,154,False,0.0
70.1,23.0,13.6,18.3,56.6,1.6,1,3,Sandy Loam,4,155,False,0.0
57.7,36.7,26.0,31.3,68.4,2.4,4,2,Loam,3,122,False,0.0
73.3,24.8,9.9,17.4,69.5,1.3,0,2,Sandy Loam,4,12,False,0.0
58.9,16.4,2.4,9.4,64.1,4.9,4,3,Sandy,1,290,False,0.0
34.8,36.2,23.9,30.1,56.8,7.1,10,1,Loam,3,118,True,19.5
18.2,35.1,22.7,28.9,60.4,0.8,10,0,Clay,2,98,True,26.1
50.3,14.3,6.0,10.1,79.2,2.6,9,0,Sandy Loam,4,331,False,0.0
62.1,22.0,8.9,15.5,81.7,0.8,5,2,Sandy,1,187,False,0.0
39.4,24.3,15.1,19.7,64.2,1.9,8,2,Clay,2,213,False,0.0
53.9,20.7,6.3,13.5,52.2,1.3,7,2,Clay,2,257,False,0.0
42.8,34.6,21.4,28.0,64.7,8.3,7,0,Loam,3,152,False,0.0
27.1,38.5,29.5,34.0,83.7,0.5,8,3,Clay,2,39,True,19.1
56.4,20.0,11.4,15.7,44.9,0.5,4,0,Sandy Loam,4,188,False,0.0
42.4,14.8,6.0,10.4,63.5,1.0,9,2,Loam,3,275,False,0.0
36.3,26.1,12.4,19.2,57.5,4.2,10,0,Loam,3,196,True,17.1
36.2,37.2,25.9,31.5,43.2,9.5,10,1,Loam,3,120,True,19.6
39.7,38.5,26.0,32.3,36.5,0.4,10,2,Sandy Loam,4,33,True,15.2
69.9,17.7,8.8,13.3,50.4,0.1,4,0,Sandy,1,210,False,0.0
49.4,13.8,5.0,9.4,42.4,2.8,6,1,Clay,2,253,False,0.0
60.2,19.7,9.1,14.4,51.7,0.5,6,1,Sandy Loam,4,233,False,0.0
53.5,32.0,23.3,27.7,74.1,1.7,4,3,Sandy Loam,4,336,False,0.0
44.7,25.9,13.1,19.5,64.3,2.1,7,3,Clay,2,17,False,0.0
45.4,29.5,15.5,22.5,61.6,1.1,8,2,Sandy,1,121,False,0.0
75.3,15.8,5.3,10.6,59.5,0.2,3,2,Sandy Loam,4,331,False,0.0
40.2,37.3,22.7,30.0,44.1,0.2,10,0,Sandy Loam,4,63,True,18.5
58.8,47.2,34.7,40.9,52.0,3.5,5,0,Sandy,1,109,False,0.0
41.0,27.7,12.8,20.2,35.4,4.2,8,0,Clay,2,125,False,0.0
56.7,37.6,25.5,31.5,76.6,3.8,2,2,Clay,2,107,False,0.0
45.6,20.1,12.1,16.1,67.5,2.3,8,1,Clay,2,306,False,0.0
59.4,39.9,26.3,33.1,69.7,0.3,2,0,Sandy,1,129,False,0.0
74.5,22.2,11.7,17.0,49.7,3.4,0,2,Clay,2,8,False,0.0
36.3,35.1,25.3,30.2,79.2,0.0,8,3,Clay,2,90,False,0.0
57.9,26.1,12.8,19.4,60.4,0.6,5,3,Sandy Loam,4,59,False,0.0
51.6,18.4,6.2,12.3,92.4,3.0,9,1,Sandy Loam,4,263,False,0.0
40.1,26.8,13.8,20.3,68.1,0.8,10,3,Loam,3,23,False,0.0
52.8,30.8,22.3,26.5,62.8,0.2,6,3,Sandy Loam,4,16,False,0.0
65.2,24.8,16.1,20.4,57.2,2.5,1,0,Sandy Loam,4,352,False,0.0
58.3,28.6,16.4,22.5,49.5,0.8,4,1,Sandy,1,165,False,0.0
44.2,18.6,6.2,12.4,65.5,0.0,9,3,Loam,3,320,False,0.0
59.9,22.8,12.8,17.8,59.0,2.3,1,0,Sandy Loam,4,272,False,0.0
47.1,18.2,5.6,11.9,41.6,3.2,7,3,Clay,2,336,False,0.0
58.8,28.9,18.0,23.5,70.6,0.2,6,3,Sandy Loam,4,117,False,0.0
42.3,39.0,28.8,33.9,56.7,5.8,5,2,Loam,3,49,False,0.0
64.5,44.0,31.2,37.6,43.9,1.0,1,0,Sandy Loam,4,79,False,0.0
60.2,30.8,22.2,26.5,49.3,0.1,2,2,Sandy,1,44,False,0.0
62.2,8.9,0.5,4.7,81.7,4.0,6,0,Loam,3,285,False,0.0
59.5,24.9,10.8,17.9,64.0,3.0,4,0,Sandy Loam,4,182,False,0.0
63.0,19.5,9.3,14.4,66.7,2.9,2,1,Sandy,1,308,False,0.0
57.0,22.0,10.6,16.3,78.7,1.3,8,2,Sandy,1,337,False,0.0
50.2,20.5,11.7,16.1,87.0,0.4,6,1,Loam,3,189,False,0.0
77.1,15.2,0.4,7.8,36.1,3.2,0,2,Sandy,1,288,False,0.0
50.2,32.8,22.9,27.8,31.7,0.0,5,2,Loam,3,93,False,0.0
65.2,22.2,13.0,17.6,95.0,0.7,1,3,Clay,2,4,False,0.0
48.9,38.4,25.3,31.8,66.4,3.0,8,0,Sandy,1,73,False,0.0
60.2,31.6,20.9,26.3,56.1,8.6,2,2,Sandy Loam,4,111,False,0.0
73.3,23.7,13.5,18.6,42.6,1.9,0,0,Loam,3,190,False,0.0
55.1,43.7,34.6,39.2,46.9,0.9,4,0,Sandy,1,80,False,0.0
65.3,13.1,0.4,6.7,55.8,1.7,6,3,Sandy Loam,4,227,False,0.0
51.7,34.8,25.3,30.0,52.6,0.2,6,2,Sandy,1,140,False,0.0
72.6,40.3,30.3,35.3,73.9,0.1,0,2,Sandy Loam,4,57,False,0.0
63.4,36.1,25.3,30.7,65.9,3.2,3,0,Sandy,1,113,False,0.0
50.1,34.8,20.2,27.5,52.0,0.2,4,2,Clay,2,155,False,0.0
68.2,32.2,23.4,27.8,57.0,2.1,2,3,Sandy Loam,4,168,False,0.0
49.6,42.8,32.2,37.5,63.0,0.2,1,2,Clay,2,67,False,0.0
78.5,18.7,4.7,11.7,69.3,1.4,0,3,Sandy,1,204,False,0.0
38.1,25.7,11.2,18.5,66.5,0.5,9,3,Loam,3,236,True,17.2
69.7,18.2,5.3,11.8,63.2,0.1,1,2,Sandy Loam,4,208,False,0.0
52.1,12.4,4.3,8.3,66.0,2.7,9,1,Loam,3,208,False,0.0
62.7,7.7,-6.1,0.8,46.5,0.9,6,0,Loam,3,236,False,0.0
46.7,38.4,28.6,33.5,85.3,1.3,6,0,Sandy Loam,4,55,False,0.0
73.4,20.8,7.6,14.2,51.4,1.8,2,2,Clay,2,159,False,0.0
57.1,38.3,26.7,32.5,50.6,2.5,5,1,Sandy,1,40,False,0.0
68.5,27.0,14.0,20.5,55.6,1.4,1,1,Clay,2,180,False,0.0
11.6,32.8,23.0,27.9,71.6,0.9,10,1,Clay,2,75,True,26.7
43.1,32.8,23.6,28.2,65.6,0.6,9,3,Sandy Loam,4,39,False,0.0
64.3,9.3,-1.8,3.7,77.4,3.0,2,2,Loam,3,297,False,0.0
64.2,16.8,8.4,12.6,28.6,3.5,4,2,Sandy Loam,4,226,False,0.0
56.6,8.5,0.1,4.3,53.6,1.9,7,2,Sandy,1,303,False,0.0
75.1,20.1,11.8,15.9,72.7,1.3,1,2,Loam,3,232,False,0.0
55.8,21.4,7.3,14.4,66.5,1.8,7,3,Sandy,1,331,False,0.0
51.2,17.8,5.9,11.8,55.1,0.1,9,3,Sandy,1,298,False,0.0
69.8,23.6,14.2,18.9,60.8,0.1,0,1,Sandy Loam,4,334,False,0.0
54.2,12.4,3.7,8.1,57.2,1.4,8,0,Loam,3,231,False,0.0
32.6,24.1,14.8,19.5,65.2,1.2,7,3,Clay,2,331,True,22.3
65.9,10.7,-1.0,4.8,66.1,0.1,5,2,Clay,2,269,False,0.0
34.5,25.8,15.1,20.5,69.2,7.0,10,0,Loam,3,145,True,18.9
49.6,16.4,6.0,11.2,76.1,0.4,8,0,Loam,3,332,False,0.0
54.3,26.5,15.8,21.1,67.4,5.8,5,1,Loam,3,348,False,0.0
45.8,41.6,29.6,35.6,74.4,1.7,4,2,Clay,2,42,False,0.0
41.9,25.7,12.9,19.3,77.8,0.5,9,1,Sandy Loam,4,336,True,18.3
42.9,20.8,6.2,13.5,64.4,2.1,10,3,Loam,3,363,False,0.0
54.6,28.9,15.3,22.1,64.8,1.7,8,3,Sandy,1,169,False,0.0
65.4,27.2,19.1,23.2,65.3,1.0,3,1,Loam,3,186,False,0.0
68.9,20.1,5.5,12.8,69.0,3.2,3,1,Sandy Loam,4,175,False,0.0
37.0,40.8,31.8,36.3,56.1,0.3,8,0,Loam,3,71,True,16.8
52.8,9.5,-4.3,2.6,38.4,1.0,9,2,Sandy,1,277,False,0.0
50.4,42.0,29.8,35.9,36.7,0.9,2,1,Clay,2,68,False,0.0
55.6,31.5,18.1,24.8,75.1,1.9,0,3,Clay,2,355,False,0.0
46.0,16.9,6.3,11.6,60.9,1.3,9,3,Clay,2,211,False,0.0
62.4,23.9,10.7,17.3,35.3,1.7,8,1,Sandy Loam,4,146,False,0.0
55.0,37.2,27.0,32.1,70.2,2.5,5,1,Sandy Loam,4,123,False,0.0
59.5,25.9,11.3,18.6,64.2,0.6,4,3,Sandy Loam,4,348,False,0.0
57.7,25.5,13.9,19.7,59.5,0.6,3,1,Sandy Loam,4,196,False,0.0
36.7,11.9,3.0,7.5,43.4,3.2,10,0,Loam,3,310,True,17.8
57.9,23.6,9.5,16.6,71.6,0.6,4,0,Sandy,1,247,False,0.0
39.2,30.6,17.3,24.0,68.3,0.4,8,3,Loam,3,43,True,19.2
47.5,35.8,22.0,28.9,62.4,0.6,7,1,Sandy,1,76,False,0.0
52.6,25.5,11.0,18.2,68.3,3.3,6,0,Sandy Loam,4,179,False,0.0
62.0,15.7,5.1,10.4,67.1,1.8,5,0,Sandy Loam,4,258,False,0.0
64.7,34.4,26.2,30.3,60.6,0.5,2,2,Sandy,1,115,False,0.0
49.0,27.9,19.6,23.8,77.2,4.6,7,1,Sandy Loam,4,71,False,0.0
70.7,11.5,-0.8,5.3,49.6,3.0,4,0,Sandy,1,230,False,0.0
53.7,31.6,17.8,24.7,87.3,0.2,4,0,Sandy Loam,4,111,False,0.0
58.5,29.5,19.3,24.4,92.2,1.8,6,1,Sandy,1,122,False,0.0
74.6,15.4,1.8,8.6,54.7,0.2,1,0,Sandy Loam,4,328,False,0.0
61.8,15.7,3.5,9.6,57.8,1.9,2,1,Sandy,1,256,False,0.0
31.5,31.6,20.6,26.1,81.9,1.4,9,1,Loam,3,150,True,18.5
